TransactionAmount,CustomerAge,TransactionDuration,AccountBalance,TransactionType,Channel,CustomerOccupation,Cluster
14.09,70,81,5112.21,Debit,ATM,Doctor,2
376.24,68,141,13758.91,Debit,ATM,Doctor,2
126.28999999999999,19,56,1122.35,Debit,Online,Student,1
184.5,26,25,8569.06,Debit,Online,Student,1
13.45,26,198,7429.4,Credit,Online,Student,4
92.15,18,172,781.68,Debit,ATM,Student,2
7.080000000000001,37,139,13316.71,Credit,ATM,Doctor,5
171.42,67,291,2796.24,Credit,Branch,Retired,3
106.23,51,86,9095.14,Credit,Branch,Engineer,3
815.96,55,120,1021.8800000000001,Debit,ATM,Doctor,2
17.78,52,59,7599.5199999999995,Credit,Online,Engineer,4
190.02,21,173,1528.81,Debit,Online,Student,1
494.52,24,111,1620.02,Credit,Branch,Student,3
781.76,26,123,189.69,Debit,ATM,Student,2
166.99,18,134,299.93,Debit,Online,Student,1
465.44999999999993,36,129,3465.54,Debit,ATM,Engineer,2
555.8,19,158,1131.26,Credit,Branch,Student,3
492.92999999999995,39,234,5109.97,Debit,Online,Engineer,1
18.68,59,106,7948.369999999999,Credit,Branch,Retired,3
71.48,18,169,6568.59,Credit,Online,Student,4
59.32,71,37,5750.89,Debit,Branch,Retired,0
85.77,38,93,9146.19,Debit,Branch,Doctor,0
52.2,39,120,8974.93,Debit,Online,Engineer,1
345.84,22,142,1402.5,Debit,Online,Student,1
145.54,21,96,1930.96,Debit,Online,Student,1
7.49,65,276,3634.67,Credit,Online,Retired,4
246.93000000000004,23,158,673.3499999999999,Debit,ATM,Student,2
40.32,37,95,2686.52,Debit,Branch,Engineer,0
127.45000000000002,44,197,1772.06,Debit,Online,Doctor,1
56.17,27,283,1351.69,Debit,Branch,Student,0
28.310000000000002,59,20,8334.47,Credit,Online,Doctor,4
59.11999999999999,29,257,9823.64,Debit,ATM,Doctor,2
396.45,49,168,9690.15,Debit,ATM,Engineer,2
877.81,22,150,399.0,Debit,Online,Student,1
255.26,45,50,14815.87,Credit,Branch,Doctor,3
124.75999999999999,49,45,5764.72,Debit,Branch,Engineer,0
78.13,26,145,900.61,Debit,Branch,Student,0
649.28,75,137,4875.86,Debit,ATM,Retired,2
795.31,66,90,7914.879999999999,Debit,ATM,Doctor,2
335.63,55,215,1019.39,Debit,Online,Retired,1
328.47,63,119,4323.66,Debit,ATM,Retired,2
34.02,38,18,14214.48,Debit,Online,Doctor,1
241.42,57,116,13357.02,Credit,Online,Doctor,4
55.32,19,117,241.79000000000002,Debit,ATM,Student,2
304.31,27,33,868.61,Debit,Branch,Student,0
435.27,74,90,4673.28,Debit,Branch,Retired,0
164.49,26,75,1509.27,Debit,Branch,Student,0
510.24,19,105,781.7,Debit,Online,Student,1
626.9,26,138,265.51,Debit,Online,Student,1
22.01,41,175,1335.09,Credit,Online,Engineer,4
425.34,69,121,3907.5399999999995,Credit,Online,Retired,4
424.56,51,264,5183.85,Debit,Online,Engineer,1
85.43,67,145,14904.9,Debit,Branch,Doctor,0
169.5,28,142,918.8799999999999,Debit,Branch,Student,0
104.63,62,90,4477.78,Debit,ATM,Retired,2
316.95,25,83,1324.03,Debit,Branch,Student,0
60.54,57,52,3534.93,Credit,Branch,Retired,3
292.56,68,61,4638.37,Credit,Branch,Retired,3
386.52,48,28,5630.61,Debit,Branch,Engineer,0
112.07,23,51,930.3,Debit,Branch,Student,0
568.52,46,151,5499.91,Debit,ATM,Engineer,2
263.99,79,227,4175.02,Debit,Branch,Retired,0
349.64,48,226,6651.62,Debit,Online,Engineer,1
